,,,,,,,,,,,,,,,,,,,,,,,
action_ff_flare,"Wizard Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_flare,"A flare that inflicts magic fire and deals bonus damage to afflicted enemies",,,,,,,,,,,,,,,,,,,,,,
action_ff_flamethrower,"Magic Flamethrower",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_flamethrower,"Uses heat",,,,,,,,,,,,,,,,,,,,,,
action_ff_hot_iron,"Hot Iron",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_hot_iron,"Uses heat to increase the damage done by a projectile",,,,,,,,,,,,,,,,,,,,,,
action_ff_axtinguisher,"Slashing Fire",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_axtinguisher,"A short-ranged arc of fire that only harms enemies afflicted with magic fire, extinguishing them to grant heat and a speed boost",,,,,,,,,,,,,,,,,,,,,,
status_ff_magic_fire,"Magic Fire",,,,,,,,,,,,,,,,,,,,,,
statusdesc_ff_magic_fire,"Fire... but magic...",,,,,,,,,,,,,,,,,,,,,,
