,,,,,,,,,,,,,,,,,,,,,,,
action_ff_flare,"Wizard Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_flare,"A projectile that inflicts magic fire [1,6s,5] and deals bonus damage to afflicted enemies",,,,,,,,,,,,,,,,,,,,,,
action_ff_hot_iron,"Hot Iron",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_hot_iron,"Uses 1.5 heat to increase a projectile's damage based on how much heat is stored",,,,,,,,,,,,,,,,,,,,,,
action_ff_axtinguisher,"Slashing Fire",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_axtinguisher,"A short-ranged arc of fire that only harms enemies afflicted with magic fire, extinguishing them to deal bonus damage and grant heat",,,,,,,,,,,,,,,,,,,,,,
action_ff_heat_flare,"Torch Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_heat_flare,"A projectile that inflicts magic fire [2,8s,6] and grants heat when it hits an afflicted enemy",,,,,,,,,,,,,,,,,,,,,,
action_ff_aoe_flare,"Lumen Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_aoe_flare,"A projectile that explodes on impact and inflicts magic fire [1,5s,4]",,,,,,,,,,,,,,,,,,,,,,
action_ff_bullet_flare,"Bullet Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_bullet_flare,"A fast, high-temperature projectile that inflicts magic fire [2,9s,7]",,,,,,,,,,,,,,,,,,,,,,
action_ff_good_flare,"Higher Flare",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_good_flare,"A harmless projectile that explodes on impact, inflicting magic fire [5,10s,10] in a small radius",,,,,,,,,,,,,,,,,,,,,,
action_ff_flare_trigger,"Wizard Flare with Trigger",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_flare_trigger,"A projectile that inflicts magic fire [1,6s,5], deals bonus damage to afflicted enemies, and casts another spell upon collision",,,,,,,,,,,,,,,,,,,,,,
action_ff_bunsen,"Bunsen",,,,,,,,,,,,,,,,,,,,,, 
actiondesc_ff_bunsen,"Uses 0.8 heat to produce a short-ranged cone of scorching magic fire [1,10s,9]",,,,,,,,,,,,,,,,,,,,,,
action_ff_laser,"Canto IX",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_laser,"Pur a noi converrà vincer la punga [1,inf.,10]",,,,,,,,,,,,,,,,,,,,,,
action_ff_heat_speed,"Thermal Thruster",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_heat_speed,"Uses 0.8 heat to increase a projectile's speed based on how much heat is stored",,,,,,,,,,,,,,,,,,,,,,
action_ff_meltdown,"Meltdown",,,,,,,,,,,,,,,,,,,,,,
actiondesc_ff_meltdown,"Uses 8% of your heat to boost both projectile and holy damage, and inflict magic fire [1,9s,9]",,,,,,,,,,,,,,,,,,,,,,
